starttime	seconds	ctime	dtime	ttime	wait
Tue Nov 17 18:22:09 2015	1447764729	0	57	57	57
Tue Nov 17 18:22:13 2015	1447764733	0	57	57	57
Tue Nov 17 18:22:18 2015	1447764738	0	57	57	57
Tue Nov 17 18:22:09 2015	1447764729	0	57	57	57
Tue Nov 17 18:22:27 2015	1447764747	0	58	58	57
Tue Nov 17 18:22:20 2015	1447764740	0	58	58	57
Tue Nov 17 18:22:15 2015	1447764735	0	58	58	57
Tue Nov 17 18:22:09 2015	1447764729	0	58	58	57
Tue Nov 17 18:22:28 2015	1447764748	0	58	58	58
Tue Nov 17 18:22:30 2015	1447764750	0	58	58	58
Tue Nov 17 18:22:30 2015	1447764750	0	58	58	57
Tue Nov 17 18:22:12 2015	1447764732	0	58	58	57
Tue Nov 17 18:22:25 2015	1447764745	0	58	58	57
Tue Nov 17 18:22:04 2015	1447764724	0	58	58	57
Tue Nov 17 18:22:07 2015	1447764727	0	58	58	58
Tue Nov 17 18:22:13 2015	1447764733	0	58	58	57
Tue Nov 17 18:22:28 2015	1447764748	0	58	58	57
Tue Nov 17 18:22:25 2015	1447764745	0	58	58	58
Tue Nov 17 18:22:18 2015	1447764738	0	58	58	58
Tue Nov 17 18:22:08 2015	1447764728	0	58	58	57
Tue Nov 17 18:22:21 2015	1447764741	0	58	58	58
Tue Nov 17 18:22:10 2015	1447764730	0	58	58	58
Tue Nov 17 18:22:16 2015	1447764736	0	58	58	57
Tue Nov 17 18:22:32 2015	1447764752	0	58	58	56
Tue Nov 17 18:22:03 2015	1447764723	0	58	58	58
Tue Nov 17 18:22:03 2015	1447764723	0	58	58	58
Tue Nov 17 18:22:11 2015	1447764731	0	58	58	58
Tue Nov 17 18:22:06 2015	1447764726	0	58	58	58
Tue Nov 17 18:22:25 2015	1447764745	0	58	58	58
Tue Nov 17 18:22:02 2015	1447764722	0	58	58	58
Tue Nov 17 18:22:11 2015	1447764731	0	58	58	57
Tue Nov 17 18:22:28 2015	1447764748	0	58	58	58
Tue Nov 17 18:22:09 2015	1447764729	0	58	58	58
Tue Nov 17 18:22:12 2015	1447764732	0	58	58	56
Tue Nov 17 18:22:04 2015	1447764724	0	58	58	58
Tue Nov 17 18:22:28 2015	1447764748	0	58	58	57
Tue Nov 17 18:22:20 2015	1447764740	0	58	58	58
Tue Nov 17 18:22:04 2015	1447764724	0	58	58	57
Tue Nov 17 18:22:06 2015	1447764726	0	58	58	58
Tue Nov 17 18:22:18 2015	1447764738	0	58	58	58
Tue Nov 17 18:22:05 2015	1447764725	0	58	58	58
Tue Nov 17 18:22:13 2015	1447764733	0	58	58	58
Tue Nov 17 18:22:30 2015	1447764750	0	58	58	58
Tue Nov 17 18:22:05 2015	1447764725	0	58	58	58
Tue Nov 17 18:22:10 2015	1447764730	0	58	58	56
Tue Nov 17 18:22:07 2015	1447764727	0	58	58	58
Tue Nov 17 18:22:20 2015	1447764740	0	58	58	58
Tue Nov 17 18:22:07 2015	1447764727	0	58	58	58
Tue Nov 17 18:22:31 2015	1447764751	0	58	58	58
Tue Nov 17 18:22:11 2015	1447764731	0	58	58	58
Tue Nov 17 18:22:32 2015	1447764752	0	58	58	58
